id,blood_bank_id,blood_group,component_type,units_available,reserved_units,last_updated
1,1,A+,WHOLE_BLOOD,33,0,2026-09-18T11:35:44.931412Z
2,1,A-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.931452Z
3,1,B+,WHOLE_BLOOD,41,3,2026-09-18T11:35:44.931464Z
4,1,B-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.931472Z
5,1,AB+,WHOLE_BLOOD,13,4,2026-09-18T11:35:44.931478Z
6,1,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.931485Z
7,1,O+,WHOLE_BLOOD,152,4,2026-09-18T11:35:44.931493Z
8,1,O-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.931499Z
9,2,A+,WHOLE_BLOOD,85,1,2026-09-18T11:35:44.931535Z
10,2,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931544Z
11,2,B+,WHOLE_BLOOD,69,3,2026-09-18T11:35:44.931552Z
12,2,B-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.931559Z
13,2,AB+,WHOLE_BLOOD,39,0,2026-09-18T11:35:44.931565Z
14,2,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.931573Z
15,2,O+,WHOLE_BLOOD,311,3,2026-09-18T11:35:44.931580Z
16,2,O-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.931587Z
17,3,A+,WHOLE_BLOOD,77,0,2026-09-18T11:35:44.931604Z
18,3,A-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.931609Z
19,3,B+,WHOLE_BLOOD,280,0,2026-09-18T11:35:44.931615Z
20,3,B-,WHOLE_BLOOD,11,0,2026-09-18T11:35:44.931620Z
21,3,AB+,WHOLE_BLOOD,36,3,2026-09-18T11:35:44.931624Z
22,3,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931628Z
23,3,O+,WHOLE_BLOOD,120,2,2026-09-18T11:35:44.931632Z
24,3,O-,WHOLE_BLOOD,5,2,2026-09-18T11:35:44.931636Z
25,4,A+,WHOLE_BLOOD,72,1,2026-09-18T11:35:44.931645Z
26,4,A-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931650Z
27,4,B+,WHOLE_BLOOD,67,4,2026-09-18T11:35:44.931654Z
28,4,B-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931658Z
29,4,AB+,WHOLE_BLOOD,32,0,2026-09-18T11:35:44.931662Z
30,4,AB-,WHOLE_BLOOD,1,0,2026-09-18T11:35:44.931668Z
31,4,O+,WHOLE_BLOOD,167,3,2026-09-18T11:35:44.931673Z
32,4,O-,WHOLE_BLOOD,2,0,2026-09-18T11:35:44.931677Z
33,5,A+,WHOLE_BLOOD,84,3,2026-09-18T11:35:44.931686Z
34,5,A-,WHOLE_BLOOD,3,3,2026-09-18T11:35:44.931690Z
35,5,B+,WHOLE_BLOOD,49,1,2026-09-18T11:35:44.931695Z
36,5,B-,WHOLE_BLOOD,2,2,2026-09-18T11:35:44.931699Z
37,5,AB+,WHOLE_BLOOD,23,4,2026-09-18T11:35:44.931703Z
38,5,AB-,WHOLE_BLOOD,1,1,2026-09-18T11:35:44.931707Z
39,5,O+,WHOLE_BLOOD,93,1,2026-09-18T11:35:44.931711Z
40,5,O-,WHOLE_BLOOD,4,0,2026-09-18T11:35:44.931715Z
41,6,A+,WHOLE_BLOOD,98,3,2026-09-18T11:35:44.931724Z
42,6,A-,WHOLE_BLOOD,2,1,2026-09-18T11:35:44.931728Z
43,6,B+,WHOLE_BLOOD,83,3,2026-09-18T11:35:44.931734Z
44,6,B-,WHOLE_BLOOD,3,0,2026-09-18T11:35:44.931739Z
