id,phc_id,medicine_id,record_date,quantity_used
1,1,1,2025-09-16,7
2,1,2,2025-09-16,2
3,1,3,2025-09-16,10
4,1,4,2025-09-16,6
5,1,5,2025-09-16,63
6,1,6,2025-09-16,9
7,1,7,2025-09-16,53
8,1,8,2025-09-16,16
9,1,9,2025-09-16,18
10,1,10,2025-09-16,4
11,1,11,2025-09-16,4
12,1,12,2025-09-16,24
13,1,13,2025-09-16,19
14,1,14,2025-09-16,10
15,1,15,2025-09-16,8
16,1,16,2025-09-16,0
17,1,17,2025-09-16,3
18,1,18,2025-09-16,3
19,1,19,2025-09-16,1
20,1,20,2025-09-16,4
21,2,1,2025-09-16,6
22,2,2,2025-09-16,4
23,2,3,2025-09-16,13
24,2,4,2025-09-16,7
25,2,5,2025-09-16,73
26,2,6,2025-09-16,8
27,2,7,2025-09-16,43
28,2,8,2025-09-16,39
29,2,9,2025-09-16,24
30,2,10,2025-09-16,7
31,2,11,2025-09-16,3
32,2,12,2025-09-16,29
33,2,13,2025-09-16,26
34,2,14,2025-09-16,14
35,2,15,2025-09-16,13
36,2,16,2025-09-16,0
37,2,17,2025-09-16,2
38,2,18,2025-09-16,4
39,2,19,2025-09-16,0
40,2,20,2025-09-16,4
41,3,1,2025-09-16,10
42,3,2,2025-09-16,7
43,3,3,2025-09-16,14
44,3,4,2025-09-16,9
45,3,5,2025-09-16,58
46,3,6,2025-09-16,11
47,3,7,2025-09-16,35
48,3,8,2025-09-16,27
49,3,9,2025-09-16,27
50,3,10,2025-09-16,6
51,3,11,2025-09-16,5
52,3,12,2025-09-16,27
53,3,13,2025-09-16,21
54,3,14,2025-09-16,18
55,3,15,2025-09-16,10
56,3,16,2025-09-16,0
57,3,17,2025-09-16,3
58,3,18,2025-09-16,4
59,3,19,2025-09-16,0
60,3,20,2025-09-16,3
61,4,1,2025-09-16,11
62,4,2,2025-09-16,7
63,4,3,2025-09-16,15
64,4,4,2025-09-16,8
65,4,5,2025-09-16,80
66,4,6,2025-09-16,11
67,4,7,2025-09-16,50
68,4,8,2025-09-16,29
69,4,9,2025-09-16,23
70,4,10,2025-09-16,6
71,4,11,2025-09-16,4
72,4,12,2025-09-16,33
73,4,13,2025-09-16,23
74,4,14,2025-09-16,22
75,4,15,2025-09-16,16
76,4,16,2025-09-16,1
77,4,17,2025-09-16,2
78,4,18,2025-09-16,7
79,4,19,2025-09-16,2
80,4,20,2025-09-16,5
81,5,1,2025-09-16,6
82,5,2,2025-09-16,5
83,5,3,2025-09-16,14
84,5,4,2025-09-16,7
85,5,5,2025-09-16,73
86,5,6,2025-09-16,9
87,5,7,2025-09-16,49
88,5,8,2025-09-16,21
89,5,9,2025-09-16,22
90,5,10,2025-09-16,7
