id,phc_id,medicine_id,quantity,reserved_quantity,batch_number,expiry_date
1,1,1,23,0,BATCH-2026-01-001,2027-12-17
2,1,2,7,0,BATCH-2026-02-001,2027-09-24
3,1,3,23,0,BATCH-2026-03-001,2028-01-15
4,1,4,9,0,BATCH-2026-04-001,2028-01-25
5,1,5,137,0,BATCH-2026-05-001,2027-11-23
6,1,6,11,0,BATCH-2026-06-001,2028-08-07
7,1,7,69,0,BATCH-2026-07-001,2027-08-13
8,1,8,28,0,BATCH-2026-08-001,2027-10-23
9,1,9,53,0,BATCH-2026-09-001,2027-03-30
10,1,10,13,0,BATCH-2026-10-001,2027-04-05
11,1,11,9,0,BATCH-2026-11-001,2027-03-30
12,1,12,60,0,BATCH-2026-12-001,2028-05-28
13,1,13,37,0,BATCH-2026-13-001,2027-10-08
14,1,14,14,0,BATCH-2026-14-001,2027-12-18
15,1,15,10,0,BATCH-2026-15-001,2027-10-22
16,1,16,5,0,BATCH-2026-16-001,2027-06-22
17,1,17,5,0,BATCH-2026-17-001,2027-05-17
18,1,18,8,0,BATCH-2026-18-001,2027-05-22
19,1,19,5,0,BATCH-2026-19-001,2028-06-13
20,1,20,7,0,BATCH-2026-20-001,2028-04-05
21,2,1,17,0,BATCH-2026-01-002,2027-04-01
22,2,2,7,0,BATCH-2026-02-002,2027-04-22
23,2,3,17,0,BATCH-2026-03-002,2028-05-20
24,2,4,16,0,BATCH-2026-04-002,2027-12-26
25,2,5,167,0,BATCH-2026-05-002,2028-02-04
26,2,6,22,0,BATCH-2026-06-002,2028-01-01
27,2,7,101,0,BATCH-2026-07-002,2027-06-13
28,2,8,61,0,BATCH-2026-08-002,2027-10-02
29,2,9,35,0,BATCH-2026-09-002,2028-07-04
30,2,10,10,0,BATCH-2026-10-002,2028-03-31
31,2,11,5,0,BATCH-2026-11-002,2027-09-02
32,2,12,48,0,BATCH-2026-12-002,2028-08-07
33,2,13,47,0,BATCH-2026-13-002,2028-06-01
34,2,14,31,0,BATCH-2026-14-002,2028-01-01
35,2,15,21,0,BATCH-2026-15-002,2027-06-05
36,2,16,5,0,BATCH-2026-16-002,2028-05-16
37,2,17,5,0,BATCH-2026-17-002,2027-12-25
38,2,18,7,0,BATCH-2026-18-002,2028-07-11
39,2,19,5,0,BATCH-2026-19-002,2027-06-27
40,2,20,5,0,BATCH-2026-20-002,2027-12-06
41,3,1,30,0,BATCH-2026-01-003,2028-05-25
42,3,2,11,0,BATCH-2026-02-003,2027-03-25
43,3,3,34,0,BATCH-2026-03-003,2027-12-04
44,3,4,14,0,BATCH-2026-04-003,2027-07-28
45,3,5,165,0,BATCH-2026-05-003,2027-05-18
46,3,6,35,0,BATCH-2026-06-003,2028-04-13
47,3,7,95,0,BATCH-2026-07-003,2027-10-24
48,3,8,72,0,BATCH-2026-08-003,2027-05-12
49,3,9,44,0,BATCH-2026-09-003,2028-06-23
50,3,10,18,0,BATCH-2026-10-003,2027-07-26
51,3,11,6,0,BATCH-2026-11-003,2028-05-05
52,3,12,47,0,BATCH-2026-12-003,2027-10-24
53,3,13,50,0,BATCH-2026-13-003,2027-04-20
54,3,14,21,0,BATCH-2026-14-003,2027-08-09
55,3,15,13,0,BATCH-2026-15-003,2028-02-26
56,3,16,5,0,BATCH-2026-16-003,2027-04-15
57,3,17,5,0,BATCH-2026-17-003,2027-09-30
58,3,18,11,0,BATCH-2026-18-003,2028-03-02
59,3,19,5,0,BATCH-2026-19-003,2027-07-19
60,3,20,9,0,BATCH-2026-20-003,2027-04-02
61,4,1,33,0,BATCH-2026-01-004,2028-08-16
62,4,2,17,0,BATCH-2026-02-004,2027-12-01
63,4,3,55,0,BATCH-2026-03-004,2027-10-11
64,4,4,28,0,BATCH-2026-04-004,2028-02-28
65,4,5,136,0,BATCH-2026-05-004,2027-08-31
66,4,6,24,0,BATCH-2026-06-004,2027-06-04
67,4,7,113,0,BATCH-2026-07-004,2027-05-30
68,4,8,135,0,BATCH-2026-08-004,2027-09-15
69,4,9,80,0,BATCH-2026-09-004,2027-11-26
70,4,10,26,0,BATCH-2026-10-004,2027-09-25
71,4,11,9,0,BATCH-2026-11-004,2027-05-07
72,4,12,105,0,BATCH-2026-12-004,2027-05-10
73,4,13,67,0,BATCH-2026-13-004,2027-06-30
74,4,14,34,0,BATCH-2026-14-004,2027-12-25
75,4,15,32,0,BATCH-2026-15-004,2027-11-19
76,4,16,5,0,BATCH-2026-16-004,2027-11-20
77,4,17,5,0,BATCH-2026-17-004,2027-09-18
78,4,18,9,0,BATCH-2026-18-004,2028-07-14
79,4,19,5,0,BATCH-2026-19-004,2027-03-21
80,4,20,13,0,BATCH-2026-20-004,2027-08-19
81,5,1,28,0,BATCH-2026-01-005,2028-03-09
82,5,2,9,0,BATCH-2026-02-005,2027-04-09
83,5,3,42,0,BATCH-2026-03-005,2027-11-22
84,5,4,10,0,BATCH-2026-04-005,2028-02-26
85,5,5,160,0,BATCH-2026-05-005,2028-01-07
86,5,6,22,0,BATCH-2026-06-005,2027-03-28
87,5,7,139,0,BATCH-2026-07-005,2028-05-25
88,5,8,57,0,BATCH-2026-08-005,2027-11-09
89,5,9,54,0,BATCH-2026-09-005,2028-02-26
90,5,10,11,0,BATCH-2026-10-005,2027-08-22
91,5,11,8,0,BATCH-2026-11-005,2028-05-11
92,5,12,64,0,BATCH-2026-12-005,2027-08-07
93,5,13,68,0,BATCH-2026-13-005,2027-09-09
94,5,14,31,0,BATCH-2026-14-005,2027-07-25
95,5,15,38,0,BATCH-2026-15-005,2028-01-20
96,5,16,5,0,BATCH-2026-16-005,2028-01-11
97,5,17,6,0,BATCH-2026-17-005,2028-01-18
98,5,18,11,0,BATCH-2026-18-005,2028-04-03
99,5,19,5,0,BATCH-2026-19-005,2028-04-12
100,5,20,8,0,BATCH-2026-20-005,2027-03-24
101,6,1,28,0,BATCH-2026-01-006,2027-04-24
102,6,2,18,0,BATCH-2026-02-006,2027-08-20
103,6,3,51,0,BATCH-2026-03-006,2027-09-01
104,6,4,27,0,BATCH-2026-04-006,2028-01-12
105,6,5,195,0,BATCH-2026-05-006,2027-05-24
106,6,6,43,0,BATCH-2026-06-006,2028-01-20
107,6,7,89,0,BATCH-2026-07-006,2027-04-22
108,6,8,69,0,BATCH-2026-08-006,2028-04-10
109,6,9,93,0,BATCH-2026-09-006,2028-08-07
110,6,10,21,0,BATCH-2026-10-006,2028-05-14
111,6,11,10,0,BATCH-2026-11-006,2028-05-19
112,6,12,104,0,BATCH-2026-12-006,2027-10-22
113,6,13,73,0,BATCH-2026-13-006,2027-10-26
114,6,14,32,0,BATCH-2026-14-006,2027-04-23
115,6,15,27,0,BATCH-2026-15-006,2027-10-03
116,6,16,5,0,BATCH-2026-16-006,2027-10-07
117,6,17,6,0,BATCH-2026-17-006,2028-05-14
118,6,18,12,0,BATCH-2026-18-006,2028-06-12
119,6,19,5,0,BATCH-2026-19-006,2027-11-19
120,6,20,6,0,BATCH-2026-20-006,2028-04-15
121,7,1,35,0,BATCH-2026-01-007,2027-08-20
122,7,2,15,0,BATCH-2026-02-007,2028-04-13
123,7,3,35,0,BATCH-2026-03-007,2027-05-12
124,7,4,29,0,BATCH-2026-04-007,2028-07-03
125,7,5,317,0,BATCH-2026-05-007,2028-07-20
126,7,6,32,0,BATCH-2026-06-007,2028-06-22
127,7,7,96,0,BATCH-2026-07-007,2028-04-15
128,7,8,106,0,BATCH-2026-08-007,2028-04-09
129,7,9,108,0,BATCH-2026-09-007,2027-10-12
130,7,10,24,0,BATCH-2026-10-007,2028-05-06
131,7,11,15,0,BATCH-2026-11-007,2027-06-24
