id,phc_id,record_date,patient_count,emergency_count
1,1,2025-09-16,163,10
2,2,2025-09-16,198,13
3,3,2025-09-16,213,11
4,4,2025-09-16,291,20
5,5,2025-09-16,212,11
6,6,2025-09-16,308,18
7,7,2025-09-16,336,22
8,8,2025-09-16,306,20
9,9,2025-09-16,222,12
10,10,2025-09-16,156,6
11,11,2025-09-16,200,10
12,12,2025-09-16,222,14
13,13,2025-09-16,147,8
14,14,2025-09-16,209,12
15,15,2025-09-16,166,7
16,16,2025-09-16,253,16
17,17,2025-09-16,277,16
18,18,2025-09-16,181,8
19,19,2025-09-16,178,12
20,20,2025-09-16,116,9
21,21,2025-09-16,161,7
22,22,2025-09-16,219,14
23,23,2025-09-16,147,7
24,24,2025-09-16,273,15
25,25,2025-09-16,165,10
26,26,2025-09-16,245,12
27,27,2025-09-16,182,10
28,28,2025-09-16,145,11
29,29,2025-09-16,231,12
30,30,2025-09-16,180,13
31,31,2025-09-16,179,12
32,32,2025-09-16,141,10
33,33,2025-09-16,168,7
34,34,2025-09-16,105,7
35,35,2025-09-16,133,7
36,36,2025-09-16,270,16
37,37,2025-09-16,221,15
38,38,2025-09-16,191,11
39,39,2025-09-16,175,16
40,40,2025-09-16,170,15
41,41,2025-09-16,146,7
42,42,2025-09-16,240,15
43,43,2025-09-16,191,14
44,44,2025-09-16,102,5
45,45,2025-09-16,223,18
46,46,2025-09-16,228,13
47,47,2025-09-16,214,9
48,48,2025-09-16,144,9
49,49,2025-09-16,174,9
50,50,2025-09-16,232,14
51,51,2025-09-16,241,14
52,52,2025-09-16,161,11
53,53,2025-09-16,152,9
54,54,2025-09-16,169,9
55,55,2025-09-16,185,10
56,56,2025-09-16,237,16
57,57,2025-09-16,131,12
58,58,2025-09-16,196,11
59,59,2025-09-16,200,12
60,60,2025-09-16,175,6
61,61,2025-09-16,205,12
62,62,2025-09-16,214,17
63,63,2025-09-16,309,19
64,64,2025-09-16,176,12
65,65,2025-09-16,241,17
66,66,2025-09-16,169,13
67,67,2025-09-16,216,14
68,68,2025-09-16,97,4
69,69,2025-09-16,236,14
70,70,2025-09-16,119,6
71,71,2025-09-16,222,12
72,72,2025-09-16,266,18
73,73,2025-09-16,205,12
74,74,2025-09-16,174,9
75,75,2025-09-16,210,13
76,76,2025-09-16,189,10
77,77,2025-09-16,113,3
78,78,2025-09-16,186,13
79,79,2025-09-16,147,8
80,80,2025-09-16,316,18
81,81,2025-09-16,164,8
82,82,2025-09-16,195,11
83,83,2025-09-16,216,11
84,84,2025-09-16,211,11
85,85,2025-09-16,199,12
86,86,2025-09-16,149,9
87,87,2025-09-16,170,12
88,88,2025-09-16,183,10
89,89,2025-09-16,309,20
90,90,2025-09-16,185,7
91,91,2025-09-16,194,6
92,92,2025-09-16,455,25
93,93,2025-09-16,244,11
94,94,2025-09-16,185,9
95,95,2025-09-16,266,21
96,96,2025-09-16,163,6
97,97,2025-09-16,190,14
98,98,2025-09-16,234,15
99,99,2025-09-16,182,9
100,100,2025-09-16,227,14
101,1,2025-09-17,192,13
102,2,2025-09-17,205,11
103,3,2025-09-17,267,15
104,4,2025-09-17,277,16
105,5,2025-09-17,299,18
106,6,2025-09-17,288,18
107,7,2025-09-17,339,24
108,8,2025-09-17,263,13
109,9,2025-09-17,200,8
110,10,2025-09-17,169,8
111,11,2025-09-17,183,10
112,12,2025-09-17,196,12
113,13,2025-09-17,149,8
114,14,2025-09-17,218,15
115,15,2025-09-17,201,10
116,16,2025-09-17,229,15
117,17,2025-09-17,279,19
118,18,2025-09-17,194,11
119,19,2025-09-17,194,11
120,20,2025-09-17,128,7
121,21,2025-09-17,139,6
122,22,2025-09-17,199,13
123,23,2025-09-17,131,6
124,24,2025-09-17,257,14
125,25,2025-09-17,159,8
126,26,2025-09-17,237,10
127,27,2025-09-17,177,6
128,28,2025-09-17,136,4
129,29,2025-09-17,215,10
130,30,2025-09-17,193,13
131,31,2025-09-17,165,13
132,32,2025-09-17,167,12
133,33,2025-09-17,147,5
134,34,2025-09-17,106,4
135,35,2025-09-17,142,5
136,36,2025-09-17,316,22
137,37,2025-09-17,221,15
138,38,2025-09-17,187,10
139,39,2025-09-17,181,9
140,40,2025-09-17,162,10
141,41,2025-09-17,151,8
142,42,2025-09-17,213,13
143,43,2025-09-17,198,13
144,44,2025-09-17,117,7
145,45,2025-09-17,215,11
146,46,2025-09-17,203,13
147,47,2025-09-17,183,8
148,48,2025-09-17,131,11
149,49,2025-09-17,193,17
150,50,2025-09-17,221,13
151,51,2025-09-17,250,14
152,52,2025-09-17,167,13
153,53,2025-09-17,112,7
154,54,2025-09-17,147,7
155,55,2025-09-17,202,16
156,56,2025-09-17,222,15
157,57,2025-09-17,142,11
158,58,2025-09-17,215,9
159,59,2025-09-17,201,14
160,60,2025-09-17,162,8
161,61,2025-09-17,196,11
162,62,2025-09-17,185,13
163,63,2025-09-17,291,17
164,64,2025-09-17,159,11
165,65,2025-09-17,218,13
166,66,2025-09-17,170,8
167,67,2025-09-17,222,11
168,68,2025-09-17,105,5
169,69,2025-09-17,215,13
170,70,2025-09-17,107,8
171,71,2025-09-17,218,8
172,72,2025-09-17,257,15
173,73,2025-09-17,218,12
174,74,2025-09-17,171,8
175,75,2025-09-17,188,9
176,76,2025-09-17,186,12
177,77,2025-09-17,123,9
178,78,2025-09-17,144,12
179,79,2025-09-17,153,6
180,80,2025-09-17,290,17
181,81,2025-09-17,183,6
182,82,2025-09-17,169,10
183,83,2025-09-17,214,13
184,84,2025-09-17,190,11
185,85,2025-09-17,204,12
186,86,2025-09-17,160,5
187,87,2025-09-17,183,9
188,88,2025-09-17,186,11
189,89,2025-09-17,283,16
190,90,2025-09-17,187,11
191,91,2025-09-17,176,10
192,92,2025-09-17,454,25
193,93,2025-09-17,233,14
194,94,2025-09-17,209,15
195,95,2025-09-17,258,14
196,96,2025-09-17,145,9
197,97,2025-09-17,210,8
198,98,2025-09-17,226,16
199,99,2025-09-17,189,8
200,100,2025-09-17,232,10
201,1,2025-09-18,163,9
202,2,2025-09-18,142,11
203,3,2025-09-18,180,10
204,4,2025-09-18,268,13
205,5,2025-09-18,228,14
206,6,2025-09-18,258,16
207,7,2025-09-18,314,21
208,8,2025-09-18,245,14
209,9,2025-09-18,173,7
210,10,2025-09-18,108,4
211,11,2025-09-18,170,11
212,12,2025-09-18,198,14
213,13,2025-09-18,140,8
214,14,2025-09-18,170,8
215,15,2025-09-18,160,9
216,16,2025-09-18,235,8
217,17,2025-09-18,211,10
218,18,2025-09-18,196,10
219,19,2025-09-18,159,9
220,20,2025-09-18,110,4
221,21,2025-09-18,139,11
222,22,2025-09-18,202,13
223,23,2025-09-18,132,7
224,24,2025-09-18,210,13
225,25,2025-09-18,132,6
226,26,2025-09-18,208,10
227,27,2025-09-18,147,13
228,28,2025-09-18,132,10
229,29,2025-09-18,203,13
230,30,2025-09-18,153,9
231,31,2025-09-18,146,13
232,32,2025-09-18,165,9
233,33,2025-09-18,122,9
234,34,2025-09-18,93,2
235,35,2025-09-18,130,8
236,36,2025-09-18,251,12
237,37,2025-09-18,215,14
238,38,2025-09-18,178,12
239,39,2025-09-18,182,13
240,40,2025-09-18,131,6
241,41,2025-09-18,135,7
242,42,2025-09-18,235,16
243,43,2025-09-18,159,12
244,44,2025-09-18,101,4
245,45,2025-09-18,178,10
246,46,2025-09-18,194,10
247,47,2025-09-18,137,5
248,48,2025-09-18,148,8
249,49,2025-09-18,150,7
250,50,2025-09-18,185,13
251,51,2025-09-18,206,13
252,52,2025-09-18,139,3
253,53,2025-09-18,114,5
254,54,2025-09-18,126,7
255,55,2025-09-18,157,9
256,56,2025-09-18,187,8
257,57,2025-09-18,120,9
258,58,2025-09-18,210,14
259,59,2025-09-18,159,11
260,60,2025-09-18,196,9
261,61,2025-09-18,192,11
262,62,2025-09-18,166,10
263,63,2025-09-18,227,12
264,64,2025-09-18,159,8
265,65,2025-09-18,217,12
266,66,2025-09-18,135,9
267,67,2025-09-18,216,10
268,68,2025-09-18,86,7
269,69,2025-09-18,186,9
270,70,2025-09-18,96,7
271,71,2025-09-18,177,10
272,72,2025-09-18,221,14
273,73,2025-09-18,197,8
274,74,2025-09-18,153,10
275,75,2025-09-18,188,11
276,76,2025-09-18,171,11
277,77,2025-09-18,91,10
278,78,2025-09-18,121,6
279,79,2025-09-18,117,6
280,80,2025-09-18,307,18
281,81,2025-09-18,161,8
