id,name,district,state,latitude,longitude,population_served,is_active
1,Alandi PHC-1,Pune,Maharashtra,18.583142,73.642955,27606,True
2,Shirwal PHC-2,Pune,Maharashtra,18.626812,73.936215,30196,True
3,Wai PHC-3,Pune,Maharashtra,18.393787,73.85911,35999,True
4,Khed PHC-4,Pune,Maharashtra,18.394598,73.89687,48267,True
5,Bhor PHC-5,Pune,Maharashtra,18.448513,73.701666,42006,True
6,Saswad PHC-6,Pune,Maharashtra,18.337136,73.675222,45528,True
7,Junnar PHC-7,Pune,Maharashtra,18.658608,73.960079,55711,True
8,Baramati PHC-8,Pune,Maharashtra,18.46574,73.880118,45267,True
9,Indapur PHC-9,Pune,Maharashtra,18.683168,73.891508,34267,True
10,Daund PHC-10,Pune,Maharashtra,18.397954,73.761925,24713,True
11,Manchar PHC-11,Pune,Maharashtra,18.340851,73.756788,34256,True
12,Loni PHC-12,Pune,Maharashtra,18.461981,73.725978,36769,True
13,Sinnar PHC-13,Pune,Maharashtra,18.372412,73.959807,24769,True
14,Yeola PHC-14,Pune,Maharashtra,18.740686,73.9197,33773,True
15,Niphad PHC-15,Pune,Maharashtra,18.674683,73.9809,28054,True
16,Trimbak PHC-16,Pune,Maharashtra,18.390342,74.056009,39558,True
17,Dindori PHC-17,Pune,Maharashtra,18.590347,73.809734,43414,True
18,Igatpuri PHC-18,Pune,Maharashtra,18.414596,73.742682,32393,True
19,Chandwad PHC-19,Pune,Maharashtra,18.558464,74.03572,29576,True
20,Deola PHC-20,Pune,Maharashtra,18.744292,73.860987,19942,True
21,Karad PHC-21,Pune,Maharashtra,18.651836,73.821672,23092,True
22,Patan PHC-22,Pune,Maharashtra,18.743655,73.869801,36986,True
23,Mahabaleshwar PHC-23,Pune,Maharashtra,18.415471,73.920133,23277,True
24,Phaltan PHC-24,Pune,Maharashtra,18.499576,74.060917,38903,True
25,Koregaon PHC-25,Pune,Maharashtra,18.520664,73.712093,24601,True
26,Khandala PHC-26,Nashik,Maharashtra,20.046537,73.633578,39911,True
27,Medha PHC-27,Nashik,Maharashtra,20.122882,73.803459,28634,True
28,Rahuri PHC-28,Nashik,Maharashtra,20.167604,73.990927,22120,True
29,Sangamner PHC-29,Nashik,Maharashtra,19.803646,73.907071,35625,True
30,Kopargaon PHC-30,Nashik,Maharashtra,19.986377,73.812212,29976,True
31,Shrirampur PHC-31,Nashik,Maharashtra,20.015183,73.893269,25946,True
32,Parner PHC-32,Nashik,Maharashtra,20.220317,73.857245,29583,True
